cod_material,nr_qtd_estoque,ds_classe_estoque,ds_tipo_estoque
52cb84104417b2512737b452d8ff76a20a9ff369c3c7fff7bdcc6073db82193b,36.0,Utilização Livre,Matéria Prima
a49b0d5c2958bb6f9ec6ec7ec0547a7e9c0dbae0144a14cec55af46d4741612d,285.0,Utilização Livre,Matéria Prima
1d4c81594dc54b15a2734c537fe6bc9bd9b0040b9d9323070e522902a2a4909d,1.0,Utilização Livre,Matéria Prima
6d4e5bf0e2599faeecb12cc3dc6fd7306dfd836ae46972da2debee024e9a486e,6.0,Bloqueado,Produto em Elaboração
947c5d2d816aed62b86c33d830bb1112976c3f057af6845a3c2e024f04a18142,8.0,Utilização Livre,Matéria Prima
1d4f0edf10332be01a84004e4d14b547280738dd911329e3561f8f5baf8ffe97,1.0,Utilização Livre,Matéria Prima
b1d8ca17d7d5300ae2acf761a929aa3b78f9a689ee2c866aeb11ef91b4f83b67,1.0,Utilização Livre,Matéria Prima
824dfbc312eab196e8a8ce2edb4b2ef2713527d94988499f39da97f87e917872,653.0,Utilização Livre,Matéria Prima
027995490c1e59d717c0e2a4727931d1d912a94b4c93f996d3baf754d040ce05,144.0,Utilização Livre,Matéria Prima
c30e7e133c90d03f0950a147ca6863b510f6da55c68192bb7fd1becfc9da2a0c,180.0,Utilização Livre,Matéria Prima
5f1c5ed87dd64844814d4273e31b16a336e1189086fb48a0b6d4274fff9ee0e7,75.0,Utilização Livre,Produto em Elaboração
3edcad85613990de3b63c17378d068779d9d0ff34df607e6a1e16d6779677ee2,154.0,Utilização Livre,Produto em Elaboração
7f851c08ade2a76566439c1f9b0ec5efb1d0b7725b2bce99d7685792a4a83328,117.0,Utilização Livre,Produto em Elaboração
34ed898322aed8fe30340e070761b6f3bf6b8a3fd402a792cce42d7b0665733d,1.0,Utilização Livre,Matéria Prima
46adcb88d45bafb3cec64df98eafaac1eb82602dd62965f5f92a7c1dcdddc269,4.0,Utilização Livre,Matéria Prima
811d69398c2bff23d64756fc1446160c0dad9c2f3ff4217987e6028cbdb1c04a,1.0,Utilização Livre,Matéria Prima
5012a183bcfb5c45f8df564d3e3f5778c13172da8724f3c05bd39889f6aecf7e,1.0,Utilização Livre,Matéria Prima
480e91c4db99796e0c99e6b64f9dd5fc44b817fab5228b7f6b6ec49be4295a06,16.0,Utilização Livre,Produto em Elaboração
a3e91e0bd0126683e5314d5cece18854f62b2d5417439944402b13d460e34848,29.0,Utilização Livre,Matéria Prima
a7d5b4952024bc646656a57e6bd29fae9ad7a0f02b54cf0238531ebf4e6a7621,23.0,Utilização Livre,Matéria Prima
63050c966490f14e4ef214cf12bb4efa801f7cbc71cf7e6126bd82bc3ce57830,1725.0,Utilização Livre,Produto Pronto
8b3f2fefe5d473cffc7f7af6a46d1a4462a45869ce785845b8ef72444ea9e22e,3.0,Utilização Livre,Matéria Prima
550a2db06cf0abb36dd376304faf372a4c6558eea09bda1d2409ea1d26ace1ff,1.0,Utilização Livre,Matéria Prima
d731e485f54b1a5e7e7b3d54b8d9e4b830cfcb675dc0cd9f11843360cc17d890,7.0,C/ Cliente,
ad73d3e7121399c9f8f0aa840819d4e5ebbea12bc2d7429850934ea257a31efa,1039.0,Utilização Livre,Matéria Prima
ed64058062ebf2ad435fec32c13b869e4ea622d95fdccd9c8479524820a26573,2.0,Utilização Livre,Matéria Prima
26ca01775f54b60aa36d6fb9046929e4cbce921606f29b0e3b01d6fc6c459dcc,5272.0,Utilização Livre,Matéria Prima
3dcf356b2ffe2d852ff42603f04716e64b65c2adb44c9251cc6a11874fef5f47,76.0,Utilização Livre,Matéria Prima
582e85dea4c4d0fec91c2bb416c95b032dd93d270323642f4da6e3ec3c9cba6f,24.0,Utilização Livre,Produto em Elaboração
d7bebfea64a051fd5f0e5e5160bf0f16679bfa0da48d4177a423ff2ece7ebcf8,19.0,Utilização Livre,Matéria Prima
d88e993e8a2919b735eecd1540dabd114e084a55e7b83b5e50772e2e776687b3,20.0,Utilização Livre,Produto em Elaboração
a348f25eac211bd2adf03db04394ce1551d49ffe425684613929f6e5e1210bf2,14.0,Utilização Livre,Produto em Elaboração
35926ef214e87b098a6ec3db9d96500ea91e0300d3ffa1e3fbb1890c8ba09409,4.0,C/ Fornecedor,Matéria Prima
a04dfe579127cf54252ad460fe7af013b81c5d6b91720416f277718263215f05,101.235,C/ Fornecedor,Matéria Prima
ea8dafd4da63b3b604e5aa2514f8c32ba17848f341a85cd06e8bb944f47fece6,3.0,Utilização Livre,Matéria Prima
36150c6fd4b6dda00cba47cae01350e5171482dbf8176bed2ebf4cbcb44d74d5,28.0,Utilização Livre,Matéria Prima
