ID,Rodada,Data,Horário,Dia,Mandante,Visitante,Vencedor,Arena,Mandante Placar,Visitante Placar,Estado Mandante,Estado Visitante,Estado Vencedor,Período Ocorrido
166,20,2000-09-30,16h00,Sábado,Goiás,São paulo,-,Serra Dourada,2,2,GO,SP,-,tarde
167,20,2000-09-30,16h00,Sábado,América-mg,Juventude,América-mg,Independência,3,0,MG,RS,MG,tarde
168,20,2000-09-30,16h00,Sábado,Atlético-mg,Cruzeiro,Cruzeiro,Mineirão,2,4,MG,MG,MG,tarde
169,20,2000-09-30,16h00,Sábado,Gama,Flamengo,Flamengo,Mané Garrincha,2,4,DF,RJ,RJ,tarde
170,20,2000-09-30,18h00,Sábado,Coritiba,Grêmio,Grêmio,Couto Pereira,1,2,PR,RS,RS,tarde
171,20,2000-09-30,18h00,Sábado,Sport,Fluminense,Sport,Ilha do Retiro,3,2,PE,RJ,PE,tarde
172,21,2000-10-04,20h30,Quarta-feira,São paulo,Grêmio,-,Morumbi,1,1,SP,RS,-,noite
173,21,2000-10-04,20h30,Quarta-feira,América-mg,Portuguesa,-,Independência,1,1,MG,SP,-,noite
174,21,2000-10-04,20h30,Quarta-feira,Bahia,Vitória,Bahia,Fonte Nova,1,0,BA,ES,BA,noite
175,21,2000-10-04,20h30,Quarta-feira,Botafogo-rj,Juventude,Botafogo-rj,Caio Martins,2,1,RJ,RS,RJ,noite
176,21,2000-10-04,20h30,Quarta-feira,Gama,Santos,Gama,Mané Garrincha,2,1,DF,SP,DF,noite
177,21,2000-10-04,20h30,Quarta-feira,Athlético-pr,Guarani,Guarani,Joaquim Américo,0,1,PR,SP,SP,noite
178,21,2000-10-04,20h30,Quarta-feira,Palmeiras,Coritiba,Palmeiras,Pq. Antarctica,2,1,SP,PR,SP,noite
179,21,2000-10-04,21h40,Quarta-feira,Ponte preta,Flamengo,Ponte preta,Moisés Lucarelli,2,0,SP,RJ,SP,noite
180,21,2000-10-04,20h30,Quarta-feira,Santa cruz,Sport,Sport,Arruda,0,3,PE,PE,PE,noite
181,21,2000-10-04,20h30,Quarta-feira,Vasco,Atlético-mg,Vasco,São Januário,4,0,RJ,MG,RJ,noite
182,22,2000-10-07,16h,Sábado,Guarani,Bahia,-,Brinco de Ouro,2,2,SP,BA,-,tarde
183,22,2000-10-07,16h,Sábado,América-mg,Cruzeiro,-,Independência,1,1,MG,MG,-,tarde
184,22,2000-10-07,16h,Sábado,Santos,Ponte preta,-,Vila Belmiro,3,3,SP,SP,-,tarde
185,22,2000-10-07,18h,Sábado,Atlético-mg,Goiás,Atlético-mg,Mineirão,2,1,MG,GO,MG,tarde
186,22,2000-10-07,16h,Sábado,Athlético-pr,Santa cruz,Athlético-pr,Joaquim Américo,4,0,PR,PE,PR,tarde
187,22,2000-10-07,16h,Sábado,Botafogo-rj,Flamengo,Botafogo-rj,Maracanã,3,1,RJ,RJ,RJ,tarde
188,22,2000-10-07,16h,Sábado,Internacional,Grêmio,Grêmio,Beira Rio,1,2,RS,RS,RS,tarde
189,22,2000-10-07,16h,Sábado,Juventude,Palmeiras,Palmeiras,Alfredo Jaconi,0,1,RS,SP,SP,tarde
190,22,2000-10-07,18h,Sábado,Corinthians,Portuguesa,Portuguesa,Pacaembu,2,3,SP,SP,SP,tarde
191,22,2000-10-07,16h,Sábado,Sport,Gama,Sport,Ilha do Retiro,3,0,PE,DF,PE,tarde
192,22,2000-10-07,16h,Sábado,Vitória,São paulo,Vitória,Barradão,5,1,ES,SP,ES,tarde
193,23,2000-10-10,20h30,Terça-feira,Cruzeiro,Santa cruz,Cruzeiro,Mineirão,3,0,MG,PE,MG,noite
194,23,2000-10-11,20h30,Quarta-feira,Palmeiras,América-mg,-,Morumbi,0,0,SP,MG,-,noite
